anonymous_id,context_app_name,context_app_version,context_ci_run,context_cpu,context_exec_info,context_library_name,context_library_version,context_os_name,context_os_version,context_python,destination_name,elapsed,elapsed_time,event,event_category,event_name,event_text,id,loaded_at,original_timestamp,received_at,sent_at,success,timestamp,transaction_id,uuid_ts
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,0,,pipeline_run,pipeline,run,pipeline_run,api-2NJhTY9js5uvJmy5XFjKBU8lj4k,3/27/2023 13:40:45,<nil>,3/21/2023 8:41:39,3/21/2023 8:41:39,TRUE,3/21/2023 8:41:39,cfa54b83837e1ebd15dff53e09c7f7f2,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,68,,pipeline_run,pipeline,run,pipeline_run,api-2NJoJI1cGcAotwiJIPAOold8AEK,3/27/2023 13:40:45,<nil>,3/21/2023 9:37:52,3/21/2023 9:37:52,TRUE,3/21/2023 9:37:52,3533e95ee94dd5f0359e8d0a7d5fca44,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJkDANhIdyXaP90LXrFqBqZJbv,3/27/2023 13:40:45,<nil>,3/21/2023 9:04:10,3/21/2023 9:04:09,TRUE,3/21/2023 9:04:10,2528bbc28a28bd9f663d8e70b42f88f0,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJl2oYzQlJ8b0whmipLpddKQCi,3/27/2023 13:40:45,<nil>,3/21/2023 9:11:00,3/21/2023 9:10:59,TRUE,3/21/2023 9:11:00,c08c1003939487711c1ad67e5a93c612,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJmiuoPzcSrmtYlCLovhElPTr5,3/27/2023 13:40:45,<nil>,3/21/2023 9:24:49,3/21/2023 9:24:49,TRUE,3/21/2023 9:24:49,4948ef09f1ac7bef1019055719332d20,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,0,,pipeline_run,pipeline,run,pipeline_run,api-2NJhiU9xsuMcjZjWhvPWQCNKaW6,3/27/2023 13:40:45,<nil>,3/21/2023 8:43:39,3/21/2023 8:43:39,TRUE,3/21/2023 8:43:39,2961aff6e12a837e8773f445364d1d43,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,3,,pipeline_run,pipeline,run,pipeline_run,api-2NJkicLfEtj3PKAfwRcNG9jXhft,3/27/2023 13:40:45,<nil>,3/21/2023 9:08:19,3/21/2023 9:08:19,TRUE,3/21/2023 9:08:19,509c7e13993b6bb48ff98dc67d8950c6,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,51,,pipeline_run,pipeline,run,pipeline_run,api-2NJosBg5MqoTy2NLaeMzJ3CqeQY,3/27/2023 13:40:45,<nil>,3/21/2023 9:42:30,3/21/2023 9:42:29,TRUE,3/21/2023 9:42:30,429f3808e699ad53eb012e5aea8905ed,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a26,Linux,5.15.0-67-generic,3.9.16,postgres,24,,pipeline_run,pipeline,run,pipeline_run,api-2NJpZq2wJ6rtgb6LeE7AmHbQxqc,3/27/2023 13:40:45,<nil>,3/21/2023 9:48:17,3/21/2023 9:48:16,TRUE,3/21/2023 9:48:17,1ad7fba00caa44321bbdc24a55ddd5b9,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,12,[],python-dlt,0.2.0a27,Linux,5.15.0-10067-tuxedo,3.8.8,duckdb,3,,pipeline_run,pipeline,run,pipeline_run,api-2NKxVTUhd0deXtfvgVeIc1vc0fu,3/27/2023 13:40:45,<nil>,3/21/2023 19:23:18,3/21/2023 19:23:17,TRUE,3/21/2023 19:23:18,3a5c013aadb0ff69ce3133db77a31a8a,3/27/2023 13:40:45
