anonymous_id,context_ci_run,context_cpu,context_exec_info,context_library_name,context_library_version,context_os_name,context_os_version,context_python,elapsed,event,event_category,event_name,event_text,id,loaded_at,operation,original_timestamp,received_at,sent_at,success,timestamp,uuid_ts
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a28,Windows,10,3.10.9,0,command_pipeline,command,pipeline,command_pipeline,api-2NVRrWpkNVV8aM5VbcrYW1Irao0,3/27/2023 13:40:45,show,<nil>,3/25/2023 12:31:01,3/25/2023 12:31:01,TRUE,3/25/2023 12:31:01,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a28,Windows,10,3.10.9,0,command_pipeline,command,pipeline,command_pipeline,api-2NVRczZiTAkltYSs2uZfkMqCxHK,3/27/2023 13:40:45,show,<nil>,3/25/2023 12:29:05,3/25/2023 12:29:05,TRUE,3/25/2023 12:29:05,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a28,Windows,10,3.10.9,0,command_pipeline,command,pipeline,command_pipeline,api-2NVS8cu0AogKCEFE9CZ6XJTd2Rq,3/27/2023 13:40:45,show,<nil>,3/25/2023 12:33:17,3/25/2023 12:33:16,TRUE,3/25/2023 12:33:17,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a28,Windows,10,3.10.9,0,command_pipeline,command,pipeline,command_pipeline,api-2NVRZeq06J4flklHPQ28YwbD49Y,3/27/2023 13:40:45,show,<nil>,3/25/2023 12:28:39,3/25/2023 12:28:38,TRUE,3/25/2023 12:28:39,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a28,Windows,10,3.10.9,0,command_pipeline,command,pipeline,command_pipeline,api-2NVRhsnKQaPK5gOoQJ7iewOLepD,3/27/2023 13:40:45,show,<nil>,3/25/2023 12:29:45,3/25/2023 12:29:44,TRUE,3/25/2023 12:29:45,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a28,Windows,10,3.10.9,0,command_pipeline,command,pipeline,command_pipeline,api-2NVS3zpMlzIBWftotnbxyFhQGt1,3/27/2023 13:40:45,show,<nil>,3/25/2023 12:32:40,3/25/2023 12:32:39,TRUE,3/25/2023 12:32:40,3/27/2023 13:40:45
56d20a4113cea81871fb2f7fa933d28d,FALSE,8,[],python-dlt,0.2.0a25,Linux,4.19.128-microsoft-standard,3.8.11,0.000001430511475,command_pipeline,command,pipeline,command_pipeline,api-2Mt0CL56J5jirPdNDGuMql97Zgy,3/27/2023 13:40:45,list,<nil>,3/11/2023 21:50:42,3/11/2023 21:50:42,TRUE,3/11/2023 21:50:42,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,0.0000009536743164,command_pipeline,command,pipeline,command_pipeline,api-2NKWM5Y2L3iZXVySC2pM3meJmDO,3/27/2023 13:40:45,show,<nil>,3/21/2023 15:40:01,3/21/2023 15:40:01,TRUE,3/21/2023 15:40:01,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,0.0000007152557373,command_pipeline,command,pipeline,command_pipeline,api-2NKkAIhXsm04RqaveP2zS2dwwBg,3/27/2023 13:40:45,show,<nil>,3/21/2023 17:33:35,3/21/2023 17:33:35,TRUE,3/21/2023 17:33:35,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,0.0000009536743164,command_pipeline,command,pipeline,command_pipeline,api-2NKilzWsfX2Gp9ZFAUVzldI45Dg,3/27/2023 13:40:45,show,<nil>,3/21/2023 17:22:08,3/21/2023 17:22:08,TRUE,3/21/2023 17:22:08,3/27/2023 13:40:45
