anonymous_id,context_app_name,context_app_version,context_ci_run,context_cpu,context_exec_info,context_library_name,context_library_version,context_os_name,context_os_version,context_python,event,event_text,id,loaded_at,original_timestamp,received_at,sent_at,timestamp,uuid_ts
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZFMgzOPQEoLH0Yu0t1BAvI0cv,3/27/2023 13:40:45,<nil>,3/26/2023 20:47:29,3/26/2023 20:47:29,3/26/2023 20:47:29,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZSdRxxU16r8pq2IcoSUMKOqh7,3/27/2023 13:40:45,<nil>,3/26/2023 22:36:37,3/26/2023 22:36:37,3/26/2023 22:36:37,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZOdFJRHZPlLTuYqj9QYYzgXeH,3/27/2023 13:40:45,<nil>,3/26/2023 22:03:42,3/26/2023 22:03:42,3/26/2023 22:03:42,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZDiCKFAmMoiQuVnqncBpMlXH7,3/27/2023 13:40:45,<nil>,3/26/2023 20:33:55,3/26/2023 20:33:55,3/26/2023 20:33:55,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZF8PrupZcHSb8709lt8QlAihI,3/27/2023 13:40:45,<nil>,3/26/2023 20:45:37,3/26/2023 20:45:36,3/26/2023 20:45:37,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZ9qC7vHAIOlvx64MNpKF81mXG,3/27/2023 13:40:45,<nil>,3/26/2023 20:02:05,3/26/2023 20:02:05,3/26/2023 20:02:05,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_run,pipeline_run,api-2NZF8IheigP9zrT4KGOYJKQViTs,3/27/2023 13:40:45,<nil>,3/26/2023 20:45:35,3/26/2023 20:45:35,3/26/2023 20:45:35,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,10,[],python-dlt,0.2.0a28,Darwin,21.3.0,3.9.10,pipeline_load,pipeline_load,api-2NXmjz3tu8dETvO89vMPcSx4vsd,3/27/2023 13:40:45,<nil>,3/26/2023 8:22:19,3/26/2023 8:22:18,3/26/2023 8:22:19,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,10,[],python-dlt,0.2.0a28,Darwin,21.3.0,3.9.10,pipeline_load,pipeline_load,api-2NXpohvfFBeRvCQrrNomO87fucx,3/27/2023 13:40:45,<nil>,3/26/2023 8:47:37,3/26/2023 8:47:37,3/26/2023 8:47:37,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,10,[],python-dlt,0.2.0a28,Darwin,21.3.0,3.9.10,pipeline_load,pipeline_load,api-2NXpQ91NZD2aY6etE7lVkmmF5qB,3/27/2023 13:40:45,<nil>,3/26/2023 8:44:20,3/26/2023 8:44:20,3/26/2023 8:44:20,3/27/2023 13:40:45
